##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	BT20 paired-end RNA-seq subsampled _end 1_
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	419200
Sequences flagged as poor quality	0
Sequence length	50
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
9	49	-0.4617664338458667
9	50	-0.5775820558376878
10	1	-0.18617673132849433
10	2	-0.3909008216305807
10	3	-0.29081762390425325
10	4	-0.3210896467167501
10	5	-0.220652576983575
10	6	-0.4298224939878992
10	7	-0.28964708684170404
10	8	-0.2602800231119602
10	9	-0.10263909346125644
10	10	-0.6084992019673763
10	11	-0.36789532481139986
10	12	-0.3124710036621252
10	13	-0.31358056841509807
10	14	-0.5178683007051461
10	15	-0.41099613712320604
10	16	-0.22009331079123484
10	17	-0.34556670832319014
10	18	-0.4807626884447487
10	19	-0.6436356309839013
10	20	-0.40627113701354034
10	21	-0.19842430355958385
10	22	-0.43451342042697405
10	23	-0.2683870217083566
10	24	-0.6003120000525968
10	25	-0.5856109186303371
10	26	-0.43004289059859957
10	27	-0.4713908358771661
10	28	-0.2912354226435099
10	29	-0.26250643270527263
10	30	-0.4650365872809985
10	31	-0.49914176144141464
10	32	-0.20455508658858435
10	33	-0.2648136407588595
10	34	-0.1782721043794453
10	35	-0.42778130811587545
10	36	-0.1468640704275046
10	37	-0.006232084007194771
10	38	-0.010167992358084632
10	39	-0.03634889014429632
10	40	-0.1335083224503748
10	41	0.18593876385408947
10	42	-0.11756120245415502
10	43	-0.5167968606065614
10	44	-0.20152461484919826
10	45	-0.49075848168437375
10	46	-0.4371789558580659
10	47	-0.4143649099365163
10	48	-0.7821977085234906
10	49	-0.665675943704386
10	50	-0.5907859330642324
11	1	-0.2892835138068932
11	2	-0.4352901176294566
11	3	-0.37848024028178173
11	4	-0.5722465934698846
11	5	-0.4879248360147841
11	6	-0.3655251294072457
11	7	-0.4452983717744772
11	8	-0.4648937628789298
11	9	-0.2396075417869028
11	10	-0.3400251230374636
11	11	-0.19254667998040276
11	12	-0.4240919777605612
11	13	-0.42026159448834477
11	14	-0.2711206282556944
11	15	-0.26152564024091873
11	16	-0.1839918896782251
11	17	-0.2408757087055875
11	18	-0.25820749447569824
11	19	-0.19429546132439413
11	20	-0.25448284461231907
11	21	-0.2794222823170287
11	22	-0.400995131693648
11	23	-0.2136651961907603
11	24	-0.3332504497049271
11	25	-0.48188761815195136
11	26	-0.42417426356077925
11	27	-0.43760721028308325
11	28	-0.5192456303086246
11	29	-0.22251860698476378
11	30	-0.2742281682984853
11	31	-0.5475891506047503
11	32	-0.29435600590276323
11	33	-0.46467472910823204
11	34	-0.5409017487500094
11	35	-0.3187044462705302
11	36	-0.46159260740687813
11	37	-0.04547852732265767
11	38	-0.28248165174359485
11	39	-0.05295585601729158
11	40	-0.4743725402138992
11	41	-0.030911687608771388
11	42	-0.07737047207542957
11	43	0.010903527253496748
11	44	-0.403882991299767
11	45	-0.5102997610762827
11	46	-0.2440527413566258
11	47	-0.3911245225447004
11	48	-0.47335340663257597
11	49	-0.684577293020368
11	50	-0.47004985739639693
12	1	-0.27195547982375956
12	2	-0.40223226638978815
12	3	-0.3068128375942507
12	4	-0.371165694262686
12	5	-0.28955669940931017
12	6	-0.16682052612249265
12	7	-0.18024674516836825
12	8	-0.17401831863777062
12	9	-0.48146399668985396
12	10	-0.2501674905011413
12	11	-0.14243417393451097
12	12	-0.11927419549656548
